,score,label
tgt2_cell0188,0.18366466965171613,0
tgt2_cell0189,0.27584009517212743,0
tgt2_cell0190,0.2246768896096299,0
tgt2_cell0191,0.23511541793066915,0
tgt2_cell0192,0.24247243296934112,0
tgt2_cell0193,0.1546291015416687,0
tgt2_cell0194,0.20623630955952246,0
tgt2_cell0195,0.2075108445728213,0
tgt2_cell0196,0.19205666934697524,0
tgt2_cell0197,0.14534840951802122,0
tgt2_cell0198,0.22318898776030363,0
tgt2_cell0199,0.11707685851127976,0
tgt2_cell0200,0.1531466617409194,0
tgt2_cell0201,0.1595330927637087,0
tgt2_cell0202,0.17939341561533564,0
tgt2_cell0203,0.24205462981358863,0
tgt2_cell0204,0.28283402158772636,0
tgt2_cell0205,0.286114766228173,0
tgt2_cell0206,0.24031296892332255,0
tgt2_cell0207,0.22198469338751506,0
tgt2_cell0208,0.08317255665876191,0
tgt2_cell0209,0.2565059823000763,0
tgt2_cell0210,0.3314473283437565,0
tgt2_cell0211,0.22264382163293178,0
tgt2_cell0212,0.21170196573815184,0
tgt2_cell0213,0.2349347913426273,0
tgt2_cell0214,0.23643142927363703,0
tgt2_cell0215,0.2067458167423591,0
tgt2_cell0216,0.18130920669765277,0
tgt2_cell0217,0.21808796048346546,0
tgt2_cell0218,0.13141053952273474,0
tgt2_cell0219,0.10587867283523603,0
tgt2_cell0220,0.2680469320360754,0
tgt2_cell0221,0.17709693348321004,0
tgt2_cell0222,0.23579777382204797,0
tgt2_cell0223,0.27772969947248166,0
tgt2_cell0224,0.2610140174803904,0
tgt2_cell0225,0.17233036456710962,0
tgt2_cell0226,0.21623770147552884,0
tgt2_cell0227,0.14169565110036345,0
tgt2_cell0228,0.1947713449291337,0
tgt2_cell0229,0.25230084755041654,0
tgt2_cell0230,0.20160131201813328,0
tgt2_cell0231,0.05743153511366392,0
tgt2_cell0232,0.08743682964783302,0
tgt2_cell0233,0.1599207214715192,0
tgt2_cell0234,0.26666208296494437,0
tgt2_cell0235,0.2099542630581677,0
tgt2_cell0236,0.2070636562006109,0
tgt2_cell0237,0.13420164082148806,0
tgt2_cell0238,0.20732158257341224,0
tgt2_cell0239,0.0862413844108561,0
tgt2_cell0240,0.21709160916434245,0
tgt2_cell0241,0.258962018580933,0
tgt2_cell0242,0.15912063365001627,0
tgt2_cell0243,0.25421980388477317,0
tgt2_cell0244,0.164005230914767,0
tgt2_cell0245,0.2073687376626371,0
tgt2_cell0246,0.19320319233733596,0
tgt2_cell0247,0.20469337607444532,0
tgt2_cell0248,0.276347686756704,0
tgt2_cell0249,0.2440607984029406,0
tgt2_cell0250,0.16611392764270821,0
tgt2_cell0251,0.06175188868220813,0
tgt2_cell0252,0.24474016888651154,0
tgt2_cell0253,0.23819547637189745,0
tgt2_cell0254,0.20827557638572874,0
tgt2_cell0255,0.17209046155121221,0
tgt2_cell0256,0.27992039196617474,0
tgt2_cell0257,0.11063940674426946,0
tgt2_cell0258,0.16078108290169654,0
tgt2_cell0259,0.12668273567572422,0
tgt2_cell0260,0.21856535466590846,0
tgt2_cell0261,0.17667287407992352,0
tgt2_cell0262,0.3055595189853783,0
tgt2_cell0263,0.2008903216165929,0
tgt2_cell0264,0.1880596497703752,0
tgt2_cell0265,0.22863502003219494,0
tgt2_cell0266,0.16339015945153557,0
tgt2_cell0267,0.14580453761046008,0
tgt2_cell0268,0.2267502986707015,0
tgt2_cell0269,0.17554908026952448,0
tgt2_cell0270,0.24879872721287336,0
tgt2_cell0271,0.21673899799037932,0
tgt2_cell0272,0.7110415703325994,1
tgt2_cell0273,0.8046445987934454,1
tgt2_cell0274,0.8008917142940358,1
tgt2_cell0275,0.8194549392169825,1
tgt2_cell0276,0.7151851173904222,1
tgt2_cell0277,0.6984569503643652,1
tgt2_cell0278,0.855478104609537,1
tgt2_cell0279,0.8055359892791208,1
tgt2_cell0280,0.8205081038960367,1
tgt2_cell0281,0.880831575863209,1
tgt2_cell0282,0.808691902384545,1
tgt2_cell0283,0.7017925557752731,1
tgt2_cell0284,0.7843955819317399,1
tgt2_cell0285,0.8409187169349387,1
tgt2_cell0286,0.7787294591969663,1
tgt2_cell0287,0.784856405475568,1
tgt2_cell0288,0.7699221267958424,1
tgt2_cell0289,0.8733937775857921,1
tgt2_cell0290,0.8621651117814025,1
tgt2_cell0291,0.7095098789121215,1
tgt2_cell0292,0.8952143428569903,1
tgt2_cell0293,0.7612958761223805,1
tgt2_cell0294,0.9013819529698808,1
tgt2_cell0295,0.7343032841491703,1
tgt2_cell0296,0.8550808394717246,1
tgt2_cell0297,0.7716785011969853,1
tgt2_cell0298,0.7922139496756737,1
tgt2_cell0299,0.84416870557659,1
tgt2_cell0300,0.7630171825647549,1
tgt2_cell0301,0.8157656340216435,1
tgt2_cell0302,0.8153732107698678,1
tgt2_cell0303,0.8595633041529815,1
tgt2_cell0304,0.8683328593393915,1
tgt2_cell0305,0.8939507192311775,1
tgt2_cell0306,0.8151935082621135,1
tgt2_cell0307,0.8204360840383673,1
tgt2_cell0308,0.7715703064476772,1
tgt2_cell0309,0.7616559090294405,1
tgt2_cell0310,0.7339415030409535,1
tgt2_cell0311,0.7886858259960299,1
tgt2_cell0312,0.8078201195822167,1
tgt2_cell0313,0.8010108522062759,1
tgt2_cell0314,0.8286661060999645,1
tgt2_cell0315,0.732190201861959,1
tgt2_cell0316,0.8866302068090133,1
tgt2_cell0317,0.8153554566776122,1
tgt2_cell0318,0.8546601838835459,1
tgt2_cell0319,0.8172623764179922,1
